Data by Epi Week,,,unknown - 5 August 2018,5 Aug 2018 - 12 Aug 2018,12 Aug 2018 - 20 Aug 2018,20 Aug 2018 - 26 Aug 2018,26 Aug 2018 - 2 Sep 2018,2 Sep 2018 - 9 Sep 2018,9 Sep 2018 - 16 Sep 2018,16 Sep 2018 - 23 Sep 2018,23 Sep 2018 - 2 Oct 2018,2 Oct 2018 - 7 Oct 2018,7 Oct 2018 - 15 Oct 2018,15 Oct 2018 - 21 Oct 2018,21 Oct 2018 - 28 Oct 2018,28 Oct 2018 - 4 Nov 2018,4 Nov 2018 - 11 Nov 2018,11 Nov 2018 - 19 Nov 2018,19 Nov 2018 - 26 Nov 2018,26 Nov 2018 - 3 Dec 2018,3 Dec 2018 - 10 Dec 2018,10 Dec 2018 - 16 Dec 2018,16 Dec 2018 - 25 Dec 2018,25 Dec 2018 - 1 Jan 2019,1 Jan 2019 - 6 Jan 2019,6 Jan 2019 - 14 Jan 2019,14 Jan 2019 - 21 Jan 2019,21 Jan 2019 - 28 Jan 2019,28 Jan 2019 - 3 Feb 2019,3 Feb 2019 - 10 Feb 2019,10 Feb 2019 - 17 Feb 2019,17 Feb 2019 - 24 Feb 2019,24 Feb 2019 - 3 Mar 2019,3 Mar 2019 - 10 Mar 2019,10 Mar 2019 - 17 Mar 2019,17 Mar 2019 - 24 Mar 2019,24 Mar 2019 - 31 Mar 2019,31 Mar 2019 - 7 Apr 2019,7 Apr 2019 - 14 Apr 2019,14 Apr 2019 - 22 Apr 2019,22 Apr 2019 - 28 Apr 2019,28 Apr 2019 - 5 May 2019,5 May 2019 - 12 May 2019,12 May 2019 - 19 May 2019,19 May 2019 - 26 May 2019,26 May 2019 - 2 Jun 2019,2 Jun 2019 - 12 Jun 2019,12 Jun 2019 - 16 Jun 2019,16 Jun 2019 - 23 Jun 2019,23 Jun 2019 - 30 Jun 2019,30 Jun 2019 - 7 Jul 2019,7 Jul 2019 - 14 Jul 2019,14 Jul 2019 - 21 Jul 2019,21 Jul 2019 - 28 Jul 2019,28 Jul 2019 - 4 Aug 2019,4 Aug 2019 - 11 Aug 2019,11 Aug 2019 - 18 Aug 2019,18 Aug 2019 - 25 Aug 2019,25 Aug 2019 - 1 Sep 2019,1 Sep 2019 - 8 Sep 2019,8 Sep 2019 - 15 Sep 2019,15 Sep 2019 - 22 Sep 2019,22 Sep 2019 - 29 Sep 2019,29 Sep 2019 - 6 Oct 2019,6 Oct 2019 - 13 Oct 2019,13 Oct 2019 - 20 Oct 2019,20 Oct 2019 - 27 Oct 2019,27 Oct 2019 - 3 Nov 2019,3 Nov 2019 - 10 Nov 2019,10 Nov 2019 - 17 Nov 2019,17 Nov 2019 - 24 Nov 2019,24 Nov 2019 - 1 Dec 2019,1 Dec 2019 - 8 Dec 2019,8 Dec 2019 - 15 Dec 2019,15 Dec 2019 - 22 Dec 2019,22 Dec 2019 - 5 Jan 2020,5 Jan 2020 - 12 Jan 2020,12 Jan 2020 - 19 Jan 2020,19 Jan 2020 - 26 Jan 2020
,Butembo, Probable,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-3,0,0,0,0,0,0,0,0,0,0,1,-1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Goma, Confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Goma, Probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kalunguta, Confirmed,0,0,0,0,1,0,0,0,0,0,1,0,0,1,16,5,9,2,-4,3,3,2,1,0,0,0,2,0,0,2,0,1,3,0,0,1,0,5,5,5,21,7,9,5,2,7,5,2,3,3,0,4,4,1,7,11,10,9,9,4,2,1,2,0,1,0,0,0,0,0,0,0,0,5,0,0,0
,Kalunguta, Probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
,Katwa, Confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,16,7,10,9,11,4,7,23,23,27,25,16,11,19,14,12,10,14,23,29,71,40,41,40,16,19,11,16,8,5,3,1,4,11,3,1,4,4,5,7,4,3,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
,Katwa, Probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kayna, Confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,2,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,-1,1,4,8,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kayna, Probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kyondo, Confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,2,0,2,0,4,0,0,1,0,1,1,-2,1,0,0,1,0,0,2,0,0,0,0,1,1,1,0,0,0,0,-2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
